Time;Speed;Position X;Position Y;Acceleration X;Speed X;Speed Y;Collision State;Road Identifier;Brake Force;Lane Number;Cartesian Distance;Cartesian Distance;
97.1496582031;77.829750061;3206.32324219;-1.75;0.0341371037066;21.6193752289;-5.83053406444e-07;0.0;68.0;0.0;3.0;6.48445034027;6.48445034027;
97.1996459961;77.8329467773;3207.40429688;-1.75000035763;0.0325185842812;21.620262146;2.83117174149e-06;0.0;68.0;0.0;3.0;6.48445034027;6.48445034027;
97.2496643066;77.8361663818;3208.48535156;-1.75000011921;0.0477575212717;21.6211566925;2.38104007622e-06;0.0;68.0;0.0;3.0;6.48445034027;6.48445034027;
97.299659729;77.8392562866;3209.56640625;-1.74999952316;-0.000281989807263;21.6220149994;-2.82299242826e-06;0.0;68.0;0.0;3.0;6.48445034027;6.48445034027;
97.3496627808;77.8423995972;3210.64770508;-1.74999952316;-0.0090130995959;21.6228885651;-2.48171227213e-06;0.0;68.0;0.0;3.0;6.48445034027;6.48445034027;
97.3996505737;77.8455200195;3211.72875977;-1.74999940395;0.0235001835972;21.6237564087;-4.77437242807e-06;0.0;68.0;0.0;3.0;6.48445034027;6.48445034027;
97.4496765137;77.8486251831;3212.81005859;-1.74999988079;0.0218798406422;21.6246185303;-1.11562314942e-06;0.0;68.0;0.0;3.0;6.48445034027;6.48445034027;
97.4996643066;77.8516998291;3213.89135742;-1.75;0.0144146643579;21.6254730225;-5.03118997131e-07;0.0;68.0;0.0;3.0;6.48445034027;6.48445034027;
97.5496749878;77.8547821045;3214.97265625;-1.74999988079;0.0174142457545;21.6263275146;-1.78052289357e-06;0.0;68.0;0.0;3.0;6.48445034027;6.48445034027;
97.5996704102;77.8578186035;3216.05395508;-1.75000035763;0.00589889846742;21.6271724701;3.19975833918e-06;0.0;68.0;0.0;3.0;6.48445034027;6.48445034027;
97.6496734619;77.8608856201;3217.13549805;-1.75000023842;0.0130559755489;21.6280231476;1.47819412177e-06;0.0;68.0;0.0;3.0;6.48445034027;6.48445034027;
97.6996765137;77.8638916016;3218.21679688;-1.75000035763;0.0172517504543;21.6288585663;3.07170830638e-06;0.0;68.0;0.0;3.0;6.48445034027;6.48445034027;
97.749671936;77.8668823242;3219.29833984;-1.75000023842;0.00194657803513;21.6296901703;1.69474765244e-06;0.0;68.0;0.0;3.0;6.48445034027;6.48445034027;
97.7996749878;77.8698730469;3220.37988281;-1.75000023842;0.00166627683211;21.6305198669;5.52692313249e-07;0.0;68.0;0.0;3.0;6.48445034027;6.48445034027;
97.8496780396;77.872833252;3221.46142578;-1.75000047684;0.0303993970156;21.6313419342;3.69541589862e-06;0.0;68.0;0.0;3.0;6.48445034027;6.48445034027;
97.8996810913;77.8757629395;3222.54296875;-1.75000047684;0.0207581482828;21.6321563721;4.03377816838e-06;0.0;68.0;0.0;3.0;6.48445034027;6.48445034027;
97.9496841431;77.8787536621;3223.62475586;-1.74999976158;0.0199547577649;21.6329860687;-7.67545031977e-07;0.0;68.0;0.0;3.0;6.48445034027;6.48445034027;
97.9996795654;77.8816375732;3224.70654297;-1.74999928474;-0.00154842471238;21.6337871552;-4.14904116042e-06;0.0;68.0;0.0;3.0;6.48445034027;6.48445034027;
98.049697876;77.8845748901;3225.78808594;-1.74999976158;0.0506100654602;21.6346035004;-2.16449893742e-06;0.0;68.0;0.0;3.0;6.48445034027;6.48445034027;
98.0996932983;77.8874664307;3226.86987305;-1.75000011921;0.0368344783783;21.6354064941;1.38563586916e-06;0.0;68.0;0.0;3.0;6.48445034027;6.48445034027;
98.1497116089;77.890335083;3227.95166016;-1.74999964237;0.0300214923918;21.6362037659;-8.35060745885e-07;0.0;68.0;0.0;3.0;6.48445034027;6.48445034027;
98.1996917725;77.8931732178;3229.03369141;-1.74999976158;0.0289346836507;21.6369915009;-9.417643696e-07;0.0;68.0;0.0;3.0;6.48445034027;6.48445034027;
98.249710083;77.8959503174;3230.11547852;-1.74999940395;0.0244553983212;21.6377639771;-2.66809979621e-06;0.0;68.0;0.0;3.0;6.48445034027;6.48445034027;
